83
19,24
78,3
43,6
45,29
26,8
12,34
43,49
31,29
1,21
3,8
17,39
29,6
48,22
11,9
77,19
2,24
36,26
29,44
48,19
12,45
48,45
40,31
15,46
46,25
62,63
78,80
44,24
82,8
6,17
6,17
12,8
16,23
11,44
40,4
10,27
15,82
15,34
7,54
7,48
28,19
63,64
20,1
21,54
30,31
20,29
60,59
81,80
43,18
71,24
12,41
64,66
25,32
2,5
36,12
4,15
15,30
7,3
7,3
49,44
48,34
69,34
69,34
10,17
55,78
39,13
12,48
25,35
82,44
82,44
82,44
30,30
12,62
31,17
60,54
34,17
58,32
65,82
16,44
45,27
37,13
50,24
52,78
0,2
2,0
82,45
8,27
8,48
22,15
26,32
8,4
21,20
11,45
11,45
13,3
82,7
46,42
21,43
18,48
48,18
18,48
35,21
40,8
40,37
40,37
74,70
56,57
33,7
0,32
0,32
0,32
3,32
67,7
67,7
2,40
7,21
21,54
7,21
40,37
0,2
2,0
0,21
0,21
9,41
42,50
16,17
20,7
50,22
26,39
47,9
24,31
66,23
68,2
21,0
21,7
48,18
11,47
42,1
29,1
42,31
54,67
2,9
4,24
14,43
3,4
3,4
3,4
32,19
32,19
2,38
31,30
17,1
11,42
26,3
26,3
70,13
49,10
49,10
23,47
38,31
18,66
27,36
43,38
81,67
81,67
13,48
22,36
32,12
32,12
18,17
19,48
6,31
17,9
24,11
24,11
50,10
3,12
15,37
20,2
35,47
15,5
2,37
26,20
30,10
34,26
11,36
18,21
41,7
10,11
45,21
48,68
49,67
20,15
10,69
10,69
40,37
38,22
38,22
14,34
43,7
0,2
13,9
19,18
45,31
32,15
23,15
67,34
67,34
45,32
1,34
1,34
29,24
27,43
28,22
43,27
27,14
29,28
39,42
33,43
8,16
8,16
8,16
76,77
13,32
24,48
33,5
2,30
38,19
44,4
75,76
75,76
44,19
40,37
50,13
23,48
34,15
18,54
49,14
70,71
70,71
74,71
14,25
14,25
14,25
10,45
10,45
52,55
65,75
4,38
39,34
47,13
21,67
21,67
43,44
24,37
19,4
41,3
5,41
34,49
3,10
38,2
15,1
32,2
25,24
24,42
47,41
24,42
27,20
3,17
24,4
22,28
22,28
22,28
81,67
22,19
60,3
14,41
46,49
32,3
32,3
43,54
36,1
36,1
67,54
34,3
1,31
27,8
26,22
26,22
6,15
30,15
30,15
10,6
21,2
65,77
65,77
8,5
8,5
71,56
46,34
67,2
67,2
1,44
71,72
72,5
72,5
25,1
67,7
67,7
11,22
6,48
73,7
9,50
46,7
43,49
69,32
32,4
17,12
14,44
41,8
17,14
7,30
7,36
61,62
16,30
36,20
9,33
8,44
15,14
20,17
16,18
17,15
32,5
32,6
1,18
41,22
43,45
14,4
37,24
37,24
37,24
22,32
27,47
50,44
40,32
80,4
3,6
65,43
16,6
26,9
43,37
41,30
19,29
38,17
79,25
13,44
35,4
11,53
34,5
41,32
23,28
55,11
28,34
18,21
20,28
3,3
12,17
12,17
82,50
67,81
13,35
32,17
32,17
44,39
3,34
54,69
3,7
3,7
3,7
12,26
20,35
40,3
47,38
50,37
2,48
7,47
38,40
44,5
22,41
29,2
32,39
29,27
29,42
65,3
24,62
67,21
67,21
67,21
7,50
1,6
10,41
28,21
32,40
6,15
49,20
31,38
31,38
25,43
47,15
47,4
68,34
68,34
31,18
24,46
43,35
0,40
16,35
34,46
31,47
24,13
26,2
15,35
79,80
46,14
18,20
67,18
24,25
51,10
52,53
30,43
30,43
35,19
5,24
30,27
32,20
47,50
35,48
35,48
35,48
18,49
48,29
81,67
37,36
15,12
18,10
26,34
39,14
44,11
77,19
8,10
9,14
42,23
54,21
54,21
54,21
68,0
0,2
67,49
67,49
