
0,0,3,1,2,2,2,2,2,2,2,3,3,2,3,3,2,3,2,3,2,2,1,3,4,2,3,3,3,3,3,2,2,1,3,3,3,3,2,2,2,1,3,3,2,3,3,3,3,2,3,3,0,0,4,2,0,0,0,0,0,0,0,3,4,5,0,4,2,3,3,0,0,0,0,0,0,0,0,0,0,4,3,3
1,2,0,2,2,2,2,1,2,3,3,2,2,3,3,3,2,4,2,1,2,2,1,3,3,2,3,2,3,3,2,2,1,3,4,1,3,3,3,2,2,3,3,3,2,1,3,2,2,2,2,3,0,0,3,2,0,0,0,0,0,0,0,3,4,5,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,4,3,3
2,1,3,0,2,2,1,3,3,2,1,2,2,3,2,2,2,3,2,2,2,3,2,2,3,1,2,3,2,3,2,1,2,2,2,2,3,2,1,1,3,1,2,2,2,3,2,2,3,1,3,2,0,0,3,3,0,0,0,0,0,0,0,2,3,4,0,3,3,2,3,0,0,0,0,0,0,0,0,0,0,5,4,3
3,3,2,2,0,1,2,1,1,1,2,1,2,1,3,2,2,2,1,3,2,2,2,3,3,2,3,2,2,3,3,2,2,1,3,1,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,0,0,3,2,0,0,0,0,0,0,0,2,3,4,0,4,3,3,2,0,0,0,0,0,0,0,0,0,0,5,4,3
4,3,2,2,3,0,2,3,3,3,3,3,2,2,2,2,1,4,2,3,2,4,3,2,3,1,2,3,3,3,3,2,2,3,4,2,2,3,2,1,3,2,3,2,3,3,3,2,3,2,3,3,0,0,3,4,0,0,0,0,0,0,0,2,3,4,0,4,4,3,4,0,0,0,0,0,0,0,0,0,0,6,5,2
5,4,3,3,2,2,0,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,1,2,4,3,3,3,2,2,2,4,3,3,3,2,3,3,3,1,2,3,3,3,2,3,2,3,3,0,0,3,3,0,0,0,0,0,0,0,2,3,4,0,4,4,3,4,0,0,0,0,0,0,0,0,0,0,6,5,4
6,3,2,3,3,3,2,0,3,3,2,3,4,2,3,2,1,4,1,2,2,3,3,2,4,3,3,3,3,3,2,2,1,3,3,2,2,3,2,2,2,3,3,3,3,3,2,2,2,1,3,3,0,0,5,3,0,0,0,0,0,0,0,3,4,5,0,3,4,2,4,0,0,0,0,0,0,0,0,0,0,6,5,2
7,2,2,2,1,2,3,2,0,2,2,2,3,2,2,3,2,3,2,2,2,2,1,2,4,2,3,2,2,3,2,1,2,2,3,2,3,1,2,2,3,3,2,3,2,2,2,3,1,1,3,1,0,0,4,1,0,0,0,0,0,0,0,3,4,5,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,4,3,3
8,3,3,3,3,1,1,2,3,0,3,1,2,3,3,2,2,1,2,2,2,2,3,2,2,2,3,3,1,3,2,2,3,3,4,2,2,2,3,2,2,3,2,3,2,1,2,3,2,1,3,3,0,0,3,3,0,0,0,0,0,0,0,3,4,5,0,3,4,2,2,0,0,0,0,0,0,0,0,0,0,6,5,3
9,4,3,3,2,2,2,3,2,2,0,2,3,3,2,1,3,3,3,3,3,3,3,2,4,2,2,3,3,3,4,2,3,2,1,2,3,3,2,3,3,3,1,3,2,2,3,3,3,3,3,1,0,0,4,3,0,0,0,0,0,0,0,3,4,5,0,4,4,4,3,0,0,0,0,0,0,0,0,0,0,6,5,4
